,y,x,street_count,highway,ref
2527054808,48.3993963,9.9885704,3,,
2533485927,48.3994251,9.9812036,3,,
2547864538,48.4006006,9.9866205,1,,
2547864541,48.4004346,9.9868743,3,,
2556677842,48.4021099,9.9942509,3,,
2568260410,48.4018933,9.9876557,1,,
2568268376,48.4017332,9.9880013,3,,
2568268377,48.4016264,9.9880527,1,,
2568270468,48.401427,9.9966849,4,,
2587538486,48.3973089,9.9979485,3,,
2587538501,48.3974149,9.997888,3,,
2588144375,48.3983045,9.9950891,3,,
2588144376,48.3987845,9.9950925,3,,
2588144377,48.3987878,9.9946862,3,,
2592180331,48.3970555,9.9918535,3,,
2593803976,48.4009033,9.9875219,4,crossing,
2627679097,48.3987218,9.9830986,1,,
2640677043,48.401369,9.9912174,3,,
2640677045,48.4018708,9.9934396,3,,
2640677047,48.4014788,9.9914395,3,,
2640677052,48.401312,9.9914554,3,,
2640677053,48.4018278,9.9932738,3,,
2640677054,48.4020032,9.9938036,3,,
2672282897,48.4005126,9.9887956,1,,
2672282899,48.4003417,9.988646,3,,
2697921083,48.3971916,9.990313,3,,
2697921084,48.3970861,9.9901656,3,,
2717223855,48.3976778,9.9957386,3,,
2717223857,48.3982215,9.9959115,3,,
2725150422,48.3996744,9.9878366,3,,
2725150432,48.3999097,9.9878381,1,,
2834228640,48.4011711,9.9966857,3,,
2834228641,48.4010028,9.9966909,4,crossing,
2834228644,48.4011748,9.996841,3,,
2834228647,48.4009183,9.9966802,3,,
2834228648,48.4008597,9.9968605,3,,
2954175460,48.3982697,9.9935394,3,,
2999406047,48.4001033,9.993277,3,,
2999413337,48.4002558,9.993067,3,,
2999413338,48.4002283,9.9923221,3,,
3002501450,48.4000043,9.9931951,1,,
3002501452,48.4000399,9.9931209,1,,
3002501453,48.4000715,9.993186,3,,
3002501458,48.4000703,9.9931389,3,,
3002575244,48.4001069,9.993272,1,,
3014329308,48.3976783,9.9902624,3,,
3014329315,48.3979562,9.9901641,1,,
3014329317,48.3979424,9.9901482,3,,
3053419763,48.3979825,9.9900673,3,,
3053419765,48.3978897,9.9900885,1,,
3080099850,48.3983836,9.9899007,1,,
3080099851,48.3985054,9.9899109,1,,
3080099852,48.3983989,9.9899038,3,,
3081314212,48.3983053,9.990326,4,,
3081314216,48.39872,9.9905312,4,,
3081314217,48.3989965,9.9910961,3,,
3081314219,48.3982992,9.9903509,1,,
3081325726,48.3989066,9.990705,3,,
3081325727,48.398919,9.9906878,1,,
3083421769,48.398832,9.9891365,3,,
3083421773,48.3989171,9.9891717,3,,
3121993480,48.3975098,9.9886452,3,,
3121993481,48.3970182,9.9885025,3,,
3121993485,48.397568,9.9886761,1,,
3121993487,48.3975639,9.9886303,1,,
3127681738,48.3973951,9.9873102,1,,
3127681744,48.3973737,9.9884854,1,,
3127681753,48.3973693,9.988558,3,,
3128819942,48.4001376,9.9941897,1,,
3128819944,48.4001674,9.9941919,3,,
3141638480,48.3982292,9.9958591,3,,
3141638497,48.3980654,9.9958446,3,,
3141652451,48.3988471,9.9962469,3,,
3141652452,48.3982252,9.9958863,3,,
3166471072,48.397395,9.9871723,3,,
3166471073,48.3974026,9.9863729,4,,
3166471074,48.3974239,9.986597,4,,
3166471224,48.3973487,9.9863825,3,,
3166471229,48.3974419,9.9863613,1,,
3168583644,48.3982698,9.9944024,3,,
